id;numero_dpe;tr_001_modele_dpe;nom_methode_dpe;consommation_energie;classe_consommation_energie;estimation_ges;classe_estimation_ges;tr_002_type_batiment;annee_construction;surface_habitable;tv_016_departement;commune;arrondissement;type_voie;nom_rue;numero_rue;batiment;escalier;etage;porte;code_postal;code_insee_commune;code_insee_commune_actualise;code_insee_commune_corrige;numero_lot;date_reception_dpe
1;e-markets Toys Bike;Berkshire override;Tunnel;68145;Fresh;13555;Future-proofed innovative Michigan;SAS;94725;13742;Moroccan Dirham encryption;Cove back-end;overriding;Monaco;azure navigate;drive sticky;Mountains Investor Handcrafted;generating;deposit Home Loan Account cross-platform;Refined Metal Chair;Functionality calculating;Barbados repurpose;data-warehouse Flat;Rupiah feed JSON;Awesome Organic;2020-08-24
2;withdrawal azure Planner;azure Checking Account;global Wooden;5859;Dynamic Grocery;44804;Handcrafted Fresh Fish Wall;Producer;34517;70483;open-source;solid state copy;backing up Guam Synchronised;Cambridgeshire;navigate;client-driven bus;Gorgeous Marketing hacking;SSL core South Carolina;Practical virtual multi-byte;back up;Program Refined Granite Bike SSL;Salad Customer Pizza;web-enabled scalable Berkshire;cultivate Pennsylvania;Zimbabwe Dollar Consultant;2020-08-24
3;backing up Brand District;Virtual;firmware Gardens Berkshire;92101;Chicken;19793;Home Loan Account Metrics Supervisor;calculating withdrawal Rue;10987;26698;non-volatile driver;Utah;Intelligent Granite Hat North Dakota;deposit;Heights;El Salvador transparent;Corporate;adapter open-source success;Factors Arkansas;analyzing;knowledge base Buckinghamshire;Producer Pants input;Assurance;bluetooth portals;Turnpike architectures Sleek Steel Chair;2020-08-23
4;TCP dot-com Extended;Refined Cotton Car SQL;South Dakota ivory Awesome;95256;sticky Germany Bedfordshire;93203;Home Loan Account;overriding conglomeration Synergistic;27536;92334;Cambridgeshire Health;magnetic payment;Bacon lime;Alaska;red SQL;matrix;North Dakota calculating JBOD;withdrawal;Qatari Rial function Sleek Rubber Sausages;array Somali Shilling;Spur;B2C;local area network Checking Account;indigo generate;Jewelery;2020-08-24
5;plum Optimization Practical Rubber Table;Identity Rustic connecting;Angola;65081;firewall navigate compress;62673;Quality indexing Division;Jewelery;4403;69368;invoice invoice;Awesome Buckinghamshire;Small;bluetooth vortals;Personal Loan Account Pine;override;distributed Frozen Shore;Inlet;Sharable driver bypassing;connect access solutions;index;SDD models Central;CSS Product Customer;utilize Fresh;JBOD;2020-08-24
6;bluetooth;Comoro Franc grey synthesize;interface;37383;Ergonomic;29572;Personal Loan Account Tools technologies;Industrial;51937;55262;indigo Rwanda;Sleek Steel Computer cross-platform;unleash contextually-based methodology;fuchsia red Saint Helena Pound;quantifying generate Burundi Franc;interactive;tangible;Graphic Interface task-force;Visionary Pants;impactful Practical;Personal Loan Account withdrawal Cocos (Keeling) Islands;Checking Account;Fresh;Dynamic Fantastic value-added;installation;2020-08-24
7;Infrastructure;Iowa;Swiss Franc virtual;20395;Rand Loti optimize Fantastic Rubber Fish;38840;Pants Cliffs;Squares Wyoming structure;75944;73507;wireless;Sleek 24/365;Radial global;Handmade Plastic applications;deposit Glen Buckinghamshire;revolutionary;Tenge;invoice;HTTP Fresh Licensed Plastic Tuna;back-end Savings Account;Tactics;wireless Fresh;Bermudian Dollar (customarily known as Bermuda Dollar);solid state;Cambridgeshire;2020-08-24
8;deposit blue payment;Handmade;envisioneer Investment Account indigo;39408;AGP generating compress;41085;Eritrea Unbranded;functionalities;98977;44736;motivating scalable deposit;mission-critical Rubber protocol;Designer;Games turn-key firewall;Polarised monetize card;Cotton transform Ergonomic;payment parsing;software overriding;utilisation;compressing Tasty;auxiliary Table Surinam Dollar;scalable;transitional Borders Djibouti Franc;architectures Solutions;incubate Oval copy;2020-08-24
9;morph San Marino Unbranded Steel Pizza;Forint online Fantastic Fresh Soap;Unbranded;84115;Rustic Granite Chicken Riel;15571;Innovative Maryland;1080p invoice hard drive;74318;56184;Awesome Soft Towels transform;Home Loan Account Uganda Shilling;Bike Regional Intelligent Frozen Cheese;Tasty Plastic Pants Dominican Republic Corporate;Factors Home Loan Account;reinvent program;Keyboard Unbranded budgetary management;Sausages red;back-end Orchestrator artificial intelligence;incentivize Jewelery Berkshire;Money Market Account Mouse Cambridgeshire;blue teal;deposit hacking Research;innovative Somalia Hollow;Street;2020-08-23
10;Implementation Kiribati withdrawal;deposit COM;indexing Fort Cotton;97974;Gateway black Island;16785;gold Personal Loan Account;Peru distributed;73728;24307;Cyprus yellow;executive Developer;Handmade Wooden Computer;24/7;web-enabled Forward;hub metrics;District Hat;overriding Customer multi-byte;aggregate;Rubber Ergonomic Steel Chips Customer-focused;Borders leading edge;Granite haptic;Illinois convergence firewall;magenta Summit indexing;extensible withdrawal;2020-08-23
